RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
us6000i8es,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:58,21,Gdańsk Żabianka-AWFiS
us6000i5sd,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:354:00 AM,31,Gdańsk Żabianka-AWFiS
hv73088917,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:237:00 AM,20,Gdańsk Żabianka-AWFiS
nn00843722,06-05-22 7:30,95405,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:36,0,Sopot Kamienny Potok
nn00843721,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:38,0,Sopot Kamienny Potok
pr71361183,06-05-22 7:30,95407,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Główna,7:47,31,Sopot Kamienny Potok
ak0229k0esg2,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:48,15,Sopot Kamienny Potok
ak0229k0eb6o,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:56,0,Sopot Kamienny Potok
us6000i5rd,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,8:06,13,Sopot Kamienny Potok
nn00843738,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:07,0,Sopot Kamienny Potok
ci40070263,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:230:00 AM,10,Sopot Kamienny Potok
ak0229jzygl7,06-05-22 7:30,95737,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:36,21,Wejherowo
nc73763196,06-05-22 7:30,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,7:38,10,Wejherowo
nc73763191,06-05-22 7:30,957357,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:46,0,Wejherowo
us6000i8eq,06-05-22 7:30,852304,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Gdynia Główna,7:49,0,Wejherowo
hv73088862,06-05-22 7:30,957359,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Wejherowo,7:54,11,Wejherowo
av91647211,06-05-22 7:30,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:353:00 AM,0,Wejherowo
nc73763186,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:46,0,Wejherowo
nn00843718,06-05-22 7:30,853509/8  STAŃCZYK,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,8:53,10,Wejherowo
us6000i5r2,06-05-22 7:30,5835023/3  ŻUŁAWY,PKP Intercity,06-05-22,Olsztyn Główny - Szczecin Główny,9:357:00 AM,0,Wejherowo
nn00843638,06-05-22 7:30,853507/6  GRYF,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,350:46:00 AM,0,Wejherowo
ci40070247,06-05-22 7:30,3583505/4  RYBAK,PKP Intercity,06-05-22,Białystok - Szczecin Główny,35:2335:00 PM,21,Wejherowo
pr71361178,06-05-22 7:30,35835355/4  POBRZEŻE,PKP Intercity,06-05-22,Łódź Fabryczna - Kołobrzeg,15:05,0,Wejherowo
